,Mercury/Apollodorus (Survival),Mercury/Apollodorus (Survival)
4527,Stretch,Legendary (0.34%)
4528,,
4529,Neptune/Proteus (Defense),Neptune/Proteus (Defense)
4530,Rotation A,Rotation A
4531,Vitality,Uncommon (10.00%)
4532,Magazine Warp,Uncommon (10.00%)
4533,Trick Mag,Uncommon (10.00%)
4534,Neo S17 Relic,Uncommon (10.00%)
4535,Neo L2 Relic,Uncommon (10.00%)
4536,Neo K5 Relic,Uncommon (10.00%)
4537,Neo N22 Relic,Uncommon (10.00%)
4538,Neo C3 Relic,Uncommon (10.00%)
4539,Neo C2 Relic,Uncommon (10.00%)
4540,Neo M4 Relic,Uncommon (10.00%)
4541,Rotation B,Rotation B
4542,Hornet Strike,Rare (6.67%)
4543,Reflex Coil,Rare (6.67%)
4544,Deep Freeze,Rare (6.67%)
4545,North Wind,Rare (6.67%)
4546,Hell's Chamber,Rare (6.67%)
4547,Streamline,Rare (6.67%)
4548,Shocking Touch,Rare (6.67%)
4549,200 Endo,Rare (6.67%)
4550,Axi H6 Relic,Rare (6.67%)
4551,Axi A16 Relic,Rare (6.67%)
4552,Axi G10 Relic,Rare (6.67%)
4553,Axi B6 Relic,Rare (6.67%)
4554,Axi K11 Relic,Rare (6.67%)
4555,Axi N10 Relic,Rare (6.67%)
4556,Axi T10 Relic,Rare (6.67%)
4557,Rotation C,Rotation C
4558,Vital Sense,Rare (2.26%)
4559,Metal Auger,Rare (2.26%)
4560,Ravage,Rare (2.26%)
4561,Stretch,Rare (2.26%)
4562,Handspring,Rare (2.26%)
4563,Convulsion,Rare (2.26%)
4564,Split Chamber,Rare (2.26%)
4565,Continuity,Rare (2.26%)
4566,Master Thief,Rare (2.26%)
4567,400 Endo,Rare (2.26%)
4568,Axi H6 Relic,Uncommon (11.06%)
4569,Axi A16 Relic,Uncommon (11.06%)
4570,Axi G10 Relic,Uncommon (11.06%)
4571,Axi B6 Relic,Uncommon (11.06%)
4572,Axi K11 Relic,Uncommon (11.06%)
4573,Axi N10 Relic,Uncommon (11.06%)
4574,Axi T10 Relic,Uncommon (11.06%)
4575,,
4576,Neptune/Triton (Rescue),Neptune/Triton (Rescue)
4577,Rotation A,Rotation A
4578,Phase Specter Blueprint,Very Common (100.00%)
4579,Rotation B,Rotation B
4580,Force Specter Blueprint,Very Common (100.00%)
4581,Rotation C,Rotation C
4582,Cosmic Specter Blueprint,Very Common (100.00%)
4583,,
4584,Neptune/Despina (Excavation),Neptune/Despina (Excavation)
4585,Rotation A,Rotation A
4586,"3,000 Credits Cache",Uncommon (25.00%)
4587,"3,000 Credits Cache",Uncommon (25.00%)
4588,"3,000 Credits Cache",Uncommon (25.00%)
4589,400 Endo,Uncommon (25.00%)
4590,Rotation B,Rotation B
4591,Steel Fiber,Rare (6.67%)
4592,Stretch,Rare (6.67%)
4593,Serration,Rare (6.67%)
4594,Hell's Chamber,Rare (6.67%)
4595,Hornet Strike,Rare (6.67%)
4596,Flow,Rare (6.67%)
4597,Split Chamber,Rare (6.67%)
4598,Stabilizer,Rare (6.67%)
4599,Neo S17 Relic,Rare (6.67%)
4600,Neo L2 Relic,Rare (6.67%)
4601,Neo K5 Relic,Rare (6.67%)
4602,Neo N22 Relic,Rare (6.67%)
4603,Neo C3 Relic,Rare (6.67%)
4604,Neo C2 Relic,Rare (6.67%)
4605,Neo M4 Relic,Rare (6.67%)
4606,Rotation C,Rotation C
4607,Cleanse Infested,Rare (3.76%)
4608,Pistol Ammo Mutation,Rare (3.76%)
4609,Arrow Mutation,Rare (3.76%)
4610,Rifle Ammo Mutation,Rare (3.76%)
4611,Sniper Ammo Mutation,Rare (3.76%)
4612,Shotgun Ammo Mutation,Rare (3.76%)
4613,Axi H6 Relic,Uncommon (11.06%)
4614,Axi A16 Relic,Uncommon (11.06%)
4615,Axi G10 Relic,Uncommon (11.06%)
4616,Axi B6 Relic,Uncommon (11.06%)
4617,Axi K11 Relic,Uncommon (11.06%)
4618,Axi N10 Relic,Uncommon (11.06%)
4619,Axi T10 Relic,Uncommon (11.06%)
4620,,
4621,Neptune/Arva Vector (Skirmish),Neptune/Arva Vector (Skirmish)
4622,Rotation A,Rotation A
4623,200 Endo,Uncommon (26.67%)
4624,Lavan Engines Mk Ii,Uncommon (20.00%)
4625,Lavan Reactor Mk Ii,Uncommon (20.00%)
4626,Ash Neuroptics Blueprint,Uncommon (13.33%)
4627,Meso P11 Relic,Rare (6.67%)
4628,Meso H4 Relic,Rare (6.67%)
4629,Meso N14 Relic,Rare (6.67%)
4630,Rotation B,Rotation B
4631,200 Endo,Uncommon (27.91%)
4632,Lavan Shield Array Mk Ii,Uncommon (13.95%)
4633,Vidar Engines Mk Ii,Uncommon (13.95%)
4634,Lavan Plating Mk Ii,Uncommon (13.95%)
4635,Meso P10 Relic,Rare (4.65%)
4636,Meso D7 Relic,Rare (4.65%)
4637,Riven Sliver,Rare (2.33%)
4638,Nautilus Blueprint,Rare (4.65%)
4639,Nautilus Carapace,Rare (4.65%)
4640,Nautilus Cerebrum,Rare (4.65%)
4641,Nautilus Systems,Rare (4.65%)
4642,Rotation C,Rotation C
4643,450 Endo,Uncommon (29.79%)
4644,Vidar Reactor Mk Ii,Uncommon (17.02%)
4645,Vidar Shield Array Mk Ii,Uncommon (12.77%)
4646,Vidar Plating Mk Ii,Uncommon (12.77%)
4647,Meso K4 Relic,Rare (4.26%)
4648,Meso S12 Relic,Rare (4.26%)
4649,2X Riven Sliver,Rare (2.13%)
4650,Nautilus Blueprint,Rare (4.26%)
4651,Nautilus Carapace,Rare (4.26%)
4652,Nautilus Cerebrum,Rare (4.26%)
4653,Nautilus Systems,Rare (4.26%)
4654,,
4655,Neptune/Arva Vector (Skirmish) Extra,Neptune/Arva Vector (Skirmish) Extra
4656,200X Cubic Diodes,Uncommon (28.57%)
4657,200X Titanium,Uncommon (28.57%)
4658,5X Isos,Uncommon (14.29%)
4659,5X Asterite,Uncommon (14.29%)
4660,Aucrux Capacitors,Rare (7.14%)
4661,Nullstones,Rare (7.14%)
4662,,
4663,Neptune/Arva Vector (Caches),Neptune/Arva Vector (Caches)
4664,Rotation A,Rotation A
4665,200 Endo,Uncommon (26.09%)
4666,300 Endo,Uncommon (17.39%)
4667,Countermeasures,Rare (8.70%)
4668,Munitions Vortex,Rare (8.70%)
4669,Blackout Pulse,Rare (8.70%)
4670,Meso P11 Relic,Rare (4.35%)
4671,Meso H4 Relic,Rare (4.35%)
4672,Meso N14 Relic,Rare (4.35%)
4673,Meso P10 Relic,Rare (4.35%)
4674,Meso D7 Relic,Rare (4.35%)
4675,Meso K4 Relic,Rare (4.35%)
4676,Meso S12 Relic,Rare (4.35%)
4677,Rotation B,Rotation B
4678,200 Endo,Uncommon (18.18%)
4679,300 Endo,Uncommon (12.12%)
4680,Internal Bleeding,Rare (9.09%)
4681,Hemorrhage,Rare (9.09%)
4682,Votive Onslaught,Rare (9.09%)
4683,Lith C7 Relic,Rare (9.09%)
4684,Meso N11 Relic,Rare (9.09%)
4685,Nautilus Blueprint,Rare (6.06%)
4686,Nautilus Carapace,Rare (6.06%)
4687,Nautilus Cerebrum,Rare (6.06%)
4688,Nautilus Systems,Rare (6.06%)
4689,,
4690,Neptune/Nu-Gua Mines (Skirmish),Neptune/Nu-Gua Mines (Skirmish)
4691,200 Endo,Uncommon (12.05%)
4692,300 Endo,Rare (7.23%)
4693,Lavan Engines Mk Ii,Rare (7.23%)
4694,Lavan Reactor Mk Ii,Rare (7.23%)
4695,Lavan Shield Array Mk Ii,Rare (7.23%)
4696,Lavan Plating Mk Ii,Rare (7.23%)
4697,Vidar Engines Mk Ii,Rare (7.23%)
4698,Vidar Reactor Mk Ii,Rare (7.23%)
4699,Vidar Shield Array Mk Ii,Rare (7.23%)
4700,Vidar Plating Mk Ii,Rare (7.23%)
4701,Ash Neuroptics Blueprint,Rare (4.82%)
4702,Meso P11 Relic,Rare (2.41%)
4703,Meso H4 Relic,Rare (2.41%)
4704,Meso N14 Relic,Rare (2.41%)
4705,Meso P10 Relic,Rare (2.41%)
4706,Meso D7 Relic,Rare (2.41%)
4707,Meso K4 Relic,Rare (2.41%)
4708,Meso S12 Relic,Rare (2.41%)
4709,2X Riven Sliver,Ultra Rare (1.20%)
4710,,
4711,Neptune/Nu-Gua Mines (Skirmish) Extra,Neptune/Nu-Gua Mines (Skirmish) Extra
4712,200X Cubic Diodes,Uncommon (28.57%)
4713,200X Titanium,Uncommon (28.57%)
4714,5X Isos,Uncommon (14.29%)
4715,5X Asterite,Uncommon (14.29%)
4716,Aucrux Capacitors,Rare (7.14%)
4717,Nullstones,Rare (7.14%)
4718,,
4719,Neptune/Nu-Gua Mines (Caches),Neptune/Nu-Gua Mines (Caches)
4720,Rotation A,Rotation A
4721,200 Endo,Uncommon (26.09%)
4722,300 Endo,Uncommon (17.39%)
4723,Countermeasures,Rare (8.70%)
4724,Munitions Vortex,Rare (8.70%)
4725,Blackout Pulse,Rare (8.70%)
4726,Meso P11 Relic,Rare (4.35%)
4727,Meso H4 Relic,Rare (4.35%)
4728,Meso N14 Relic,Rare (4.35%)
4729,Meso P10 Relic,Rare (4.35%)
4730,Meso D7 Relic,Rare (4.35%)
4731,Meso K4 Relic,Rare (4.35%)
4732,Meso S12 Relic,Rare (4.35%)
4733,Rotation B,Rotation B
4734,200 Endo,Uncommon (18.18%)
4735,300 Endo,Uncommon (12.12%)
4736,Internal Bleeding,Rare (9.09%)
4737,Hemorrhage,Rare (9.09%)
4738,Votive Onslaught,Rare (9.09%)
4739,Lith C7 Relic,Rare (9.09%)
4740,Meso N11 Relic,Rare (9.09%)
4741,Nautilus Blueprint,Rare (6.06%)
4742,Nautilus Carapace,Rare (6.06%)
4743,Nautilus Cerebrum,Rare (6.06%)
4744,Nautilus Systems,Rare (6.06%)
4745,,
4746,Neptune/Enkidu Ice Drifts (Skirmish),Neptune/Enkidu Ice Drifts (Skirmish)
4747,Rotation A,Rotation A
4748,200 Endo,Uncommon (26.67%)
4749,Lavan Engines Mk Ii,Uncommon (20.00%)
4750,Lavan Reactor Mk Ii,Uncommon (20.00%)
4751,Meso P11 Relic,Rare (6.67%)
4752,Ash Neuroptics Blueprint,Uncommon (13.33%)
4753,Meso H4 Relic,Rare (6.67%)
4754,Meso N14 Relic,Rare (6.67%)
4755,Rotation B,Rotation B
4756,200 Endo,Common (34.29%)
4757,Lavan Shield Array Mk Ii,Uncommon (17.14%)
4758,Vidar Engines Mk Ii,Uncommon (17.14%)
4759,Lavan Plating Mk Ii,Uncommon (17.14%)
4760,Meso P10 Relic,Rare (5.71%)
4761,Meso D7 Relic,Rare (5.71%)
4762,Riven Sliver,Rare (2.86%)
4763,Rotation C,Rotation C
4764,450 Endo,Common (39.58%)
4765,Vidar Reactor Mk Ii,Uncommon (12.50%)
4766,Vidar Shield Array Mk Ii,Uncommon (12.50%)
4767,Vidar Plating Mk Ii,Uncommon (12.50%)
4768,Ambassador Blueprint,Rare (8.33%)
4769,Meso K4 Relic,Rare (6.25%)
4770,Meso S12 Relic,Rare (6.25%)
4771,2X Riven Sliver,Rare (2.08%)
4772,,
4773,Neptune/Enkidu Ice Drifts (Skirmish) Extra,Neptune/Enkidu Ice Drifts (Skirmish) Extra
4774,200X Cubic Diodes,Uncommon (28.57%)
4775,200X Titanium,Uncommon (28.57%)
4776,5X Isos,Uncommon (14.29%)
4777,5X Asterite,Uncommon (14.29%)
4778,Aucrux Capacitors,Rare (7.14%)
4779,Nullstones,Rare (7.14%)
4780,,
4781,Neptune/Enkidu Ice Drifts (Caches),Neptune/Enkidu Ice Drifts (Caches)
4782,Rotation A,Rotation A
4783,200 Endo,Uncommon (26.09%)
4784,300 Endo,Uncommon (17.39%)
4785,Countermeasures,Rare (8.70%)
4786,Munitions Vortex,Rare (8.70%)
4787,Blackout Pulse,Rare (8.70%)
4788,Meso P11 Relic,Rare (4.35%)
4789,Meso H4 Relic,Rare (4.35%)
4790,Meso N14 Relic,Rare (4.35%)
4791,Meso P10 Relic,Rare (4.35%)
4792,Meso D7 Relic,Rare (4.35%)
4793,Meso K4 Relic,Rare (4.35%)
4794,Meso S12 Relic,Rare (4.35%)
4795,Rotation B,Rotation B
4796,200 Endo,Uncommon (18.18%)
4797,300 Endo,Uncommon (12.12%)
4798,Internal Bleeding,Rare (9.09%)
4799,Hemorrhage,Rare (9.09%)
4800,Votive Onslaught,Rare (9.09%)
4801,Lith C7 Relic,Rare (9.09%)
4802,Meso N11 Relic,Rare (9.09%)
4803,Nautilus Blueprint,Rare (6.06%)
4804,Nautilus Carapace,Rare (6.06%)
4805,Nautilus Cerebrum,Rare (6.06%)
4806,Nautilus Systems,Rare (6.06%)
4807,,
4808,Neptune/Mammon's Prospect (Skirmish),Neptune/Mammon's Prospect (Skirmish)
4809,Rotation A,Rotation A
4810,200 Endo,Uncommon (28.57%)
4811,Lavan Engines Mk Ii,Uncommon (14.29%)
4812,Lavan Reactor Mk Ii,Uncommon (14.29%)
4813,Lavan Shield Array Mk Ii,Uncommon (14.29%)
4814,Lavan Plating Mk Ii,Uncommon (14.29%)
4815,Meso P11 Relic,Rare (4.76%)
4816,Meso H4 Relic,Rare (4.76%)
4817,Meso N14 Relic,Rare (4.76%)
4818,Rotation B,Rotation B
4819,300 Endo,Uncommon (27.27%)
4820,Vidar Engines Mk Ii,Uncommon (13.64%)
4821,Vidar Reactor Mk Ii,Uncommon (13.64%)
4822,Vidar Shield Array Mk Ii,Uncommon (13.64%)
4823,Vidar Plating Mk Ii,Uncommon (13.64%)
4824,Meso P10 Relic,Rare (4.55%)
4825,Meso D7 Relic,Rare (4.55%)
4826,Meso K4 Relic,Rare (4.55%)
4827,Meso S12 Relic,Rare (4.55%)
4828,Rotation C,Rotation C
4829,Arcane Tempo,Uncommon (10.34%)
4830,Arcane Consequence,Uncommon (10.34%)
4831,Arcane Momentum,Uncommon (10.34%)
4832,Arcane Ice,Uncommon (10.34%)
4833,Arcane Nullifier,Uncommon (10.34%)
4834,Arcane Warmth,Uncommon (10.34%)
4835,Arcane Healing,Rare (6.90%)
4836,Arcane Awakening,Rare (6.90%)
4837,Arcane Guardian,Rare (6.90%)
4838,Arcane Trickery,Rare (6.90%)
4839,Arcane Ultimatum,Rare (3.45%)
4840,Arcane Rage,Rare (3.45%)
4841,Arcane Fury,Rare (3.45%)
4842,,
4843,Neptune/Mammon's Prospect (Skirmish) Extra,Neptune/Mammon's Prospect (Skirmish) Extra
4844,200X Cubic Diodes,Uncommon (28.57%)
4845,200X Titanium,Uncommon (28.57%)
4846,5X Isos,Uncommon (14.29%)
4847,5X Asterite,Uncommon (14.29%)
4848,Aucrux Capacitors,Rare (7.14%)
4849,Nullstones,Rare (7.14%)
4850,,
4851,Neptune/Mammon's Prospect (Caches),Neptune/Mammon's Prospect (Caches)
4852,Rotation A,Rotation A
4853,200 Endo,Uncommon (26.09%)
4854,300 Endo,Uncommon (17.39%)
4855,Countermeasures,Rare (8.70%)
4856,Munitions Vortex,Rare (8.70%)
4857,Blackout Pulse,Rare (8.70%)
4858,Meso P11 Relic,Rare (4.35%)
4859,Meso H4 Relic,Rare (4.35%)
4860,Meso N14 Relic,Rare (4.35%)
4861,Meso P10 Relic,Rare (4.35%)
4862,Meso D7 Relic,Rare (4.35%)
4863,Meso K4 Relic,Rare (4.35%)
4864,Meso S12 Relic,Rare (4.35%)
4865,Rotation B,Rotation B
4866,200 Endo,Uncommon (18.18%)
4867,300 Endo,Uncommon (12.12%)
4868,Internal Bleeding,Rare (9.09%)
4869,Hemorrhage,Rare (9.09%)
4870,Votive Onslaught,Rare (9.09%)
4871,Lith C7 Relic,Rare (9.09%)
4872,Meso N11 Relic,Rare (9.09%)
4873,Nautilus Blueprint,Rare (6.06%)
4874,Nautilus Carapace,Rare (6.06%)
4875,Nautilus Cerebrum,Rare (6.06%)
4876,Nautilus Systems,Rare (6.06%)
4877,,
4878,Neptune/Sovereign Grasp (Skirmish),Neptune/Sovereign Grasp (Skirmish)
4879,300 Endo,Uncommon (12.05%)
4880,450 Endo,Rare (7.23%)
4881,Lavan Engines Mk Ii,Rare (7.23%)
4882,Lavan Reactor Mk Ii,Rare (7.23%)
4883,Lavan Shield Array Mk Ii,Rare (7.23%)
4884,Lavan Plating Mk Ii,Rare (7.23%)
4885,Vidar Engines Mk Ii,Rare (7.23%)
4886,Vidar Reactor Mk Ii,Rare (7.23%)
4887,Vidar Shield Array Mk Ii,Rare (7.23%)
4888,Vidar Plating Mk Ii,Rare (7.23%)
4889,Ash Neuroptics Blueprint,Rare (4.82%)
4890,Meso P11 Relic,Rare (2.41%)
4891,Meso H4 Relic,Rare (2.41%)
4892,Meso N14 Relic,Rare (2.41%)
4893,Meso P10 Relic,Rare (2.41%)
4894,Meso D7 Relic,Rare (2.41%)
4895,Meso K4 Relic,Rare (2.41%)
4896,Meso S12 Relic,Rare (2.41%)
4897,Riven Sliver,Ultra Rare (1.20%)
4898,,
4899,Neptune/Sovereign Grasp (Skirmish) Extra,Neptune/Sovereign Grasp (Skirmish) Extra
4900,200X Cubic Diodes,Uncommon (28.57%)
4901,200X Titanium,Uncommon (28.57%)
4902,5X Isos,Uncommon (14.29%)
4903,5X Asterite,Uncommon (14.29%)
4904,Aucrux Capacitors,Rare (7.14%)
4905,Nullstones,Rare (7.14%)
4906,,
4907,Neptune/Sovereign Grasp (Caches),Neptune/Sovereign Grasp (Caches)
4908,Rotation A,Rotation A
4909,200 Endo,Uncommon (26.09%)
4910,300 Endo,Uncommon (17.39%)
4911,Countermeasures,Rare (8.70%)
4912,Munitions Vortex,Rare (8.70%)
4913,Blackout Pulse,Rare (8.70%)
4914,Meso P11 Relic,Rare (4.35%)
4915,Meso H4 Relic,Rare (4.35%)
4916,Meso N14 Relic,Rare (4.35%)
4917,Meso P10 Relic,Rare (4.35%)
4918,Meso D7 Relic,Rare (4.35%)
4919,Meso K4 Relic,Rare (4.35%)
4920,Meso S12 Relic,Rare (4.35%)
4921,Rotation B,Rotation B
4922,200 Endo,Uncommon (18.18%)
4923,300 Endo,Uncommon (12.12%)
4924,Internal Bleeding,Rare (9.09%)
4925,Hemorrhage,Rare (9.09%)
4926,Votive Onslaught,Rare (9.09%)
4927,Lith C7 Relic,Rare (9.09%)
4928,Meso N11 Relic,Rare (9.09%)
4929,Nautilus Blueprint,Rare (6.06%)
4930,Nautilus Carapace,Rare (6.06%)
4931,Nautilus Cerebrum,Rare (6.06%)
4932,Nautilus Systems,Rare (6.06%)
4933,,
4934,Neptune/Brom Cluster (Skirmish),Neptune/Brom Cluster (Skirmish)
4935,Rotation A,Rotation A
4936,200 Endo,Uncommon (30.00%)
4937,300 Endo,Uncommon (16.67%)
4938,Swift Mercy,Uncommon (16.67%)
4939,Power Drain,Uncommon (10.00%)
4940,Firewall,Uncommon (10.00%)
4941,Malicious Code,Rare (6.67%)
4942,Hard Reset,Rare (6.67%)
4943,Riven Sliver,Rare (3.33%)
4944,Rotation B,Rotation B
4945,400 Endo,Uncommon (30.00%)
4946,Meso P11 Relic,Uncommon (10.00%)
4947,Meso H4 Relic,Uncommon (10.00%)
4948,Meso N14 Relic,Uncommon (10.00%)
4949,Meso P10 Relic,Uncommon (10.00%)
4950,Meso D7 Relic,Uncommon (10.00%)
4951,Meso K4 Relic,Uncommon (10.00%)
4952,Meso S12 Relic,Uncommon (10.00%)
4953,Rotation C,Rotation C
4954,600 Endo,Uncommon (24.00%)
4955,Ivara Chassis Blueprint,Uncommon (12.00%)
4956,Lavan Engines Mk Ii,Rare (8.00%)
4957,Lavan Reactor Mk Ii,Rare (8.00%)
4958,Lavan Shield Array Mk Ii,Rare (8.00%)
4959,Lavan Plating Mk Ii,Rare (8.00%)
4960,Vidar Engines Mk Ii,Rare (8.00%)
4961,Vidar Reactor Mk Ii,Rare (8.00%)
4962,Vidar Shield Array Mk Ii,Rare (8.00%)
4963,Vidar Plating Mk Ii,Rare (8.00%)
4964,,
4965,Neptune/Brom Cluster (Skirmish) Extra,Neptune/Brom Cluster (Skirmish) Extra
4966,200X Cubic Diodes,Uncommon (28.57%)
4967,200X Titanium,Uncommon (28.57%)
4968,5X Isos,Uncommon (14.29%)
4969,5X Asterite,Uncommon (14.29%)
4970,Aucrux Capacitors,Rare (7.14%)
4971,Nullstones,Rare (7.14%)
4972,,
4973,Neptune/Brom Cluster (Caches),Neptune/Brom Cluster (Caches)
4974,Rotation A,Rotation A
4975,200 Endo,Uncommon (26.09%)
4976,300 Endo,Uncommon (17.39%)
4977,Countermeasures,Rare (8.70%)
4978,Munitions Vortex,Rare (8.70%)
4979,Blackout Pulse,Rare (8.70%)
4980,Meso P11 Relic,Rare (4.35%)
4981,Meso H4 Relic,Rare (4.35%)
4982,Meso N14 Relic,Rare (4.35%)
4983,Meso P10 Relic,Rare (4.35%)
4984,Meso D7 Relic,Rare (4.35%)
4985,Meso K4 Relic,Rare (4.35%)
4986,Meso S12 Relic,Rare (4.35%)
4987,Rotation B,Rotation B
4988,200 Endo,Uncommon (18.18%)
4989,300 Endo,Uncommon (12.12%)
4990,Internal Bleeding,Rare (9.09%)
4991,Hemorrhage,Rare (9.09%)
4992,Votive Onslaught,Rare (9.09%)
4993,Lith C7 Relic,Rare (9.09%)
4994,Meso N11 Relic,Rare (9.09%)
4995,Nautilus Blueprint,Rare (6.06%)
4996,Nautilus Carapace,Rare (6.06%)
4997,Nautilus Cerebrum,Rare (6.06%)
4998,Nautilus Systems,Rare (6.06%)
4999,,
5000,Event: Neptune/Halimede (Caches),Event: Neptune/Halimede (Caches)
5001,Rotation A,Rotation A
5002,"10,000 Credits Cache",Very Common (100.00%)
5003,Rotation B,Rotation B
5004,400 Endo,Uncommon (12.65%)
5005,400 Endo,Uncommon (12.65%)
5006,400 Endo,Uncommon (12.65%)
5007,400 Endo,Uncommon (11.06%)
5008,400 Endo,Uncommon (11.06%)
5009,400 Endo,Rare (2.01%)
5010,400X Circuits,Uncommon (12.65%)
5011,400X Rubedo,Uncommon (12.65%)
5012,300X Plastids,Uncommon (12.65%)
5013,Rotation C,Rotation C
5014,600 Endo,Uncommon (12.58%)
5015,600 Endo,Uncommon (12.58%)
5016,600 Endo,Uncommon (12.58%)
5017,600 Endo,Rare (3.67%)
5018,Orokin Cell,Uncommon (12.58%)
5019,Gallium,Uncommon (12.58%)
5020,Neurodes,Uncommon (12.58%)
5021,2X Orokin Cell,Rare (3.67%)
5022,2X Gallium,Rare (3.67%)
5023,2X Neurodes,Rare (3.67%)
5024,Argon Crystal,Rare (3.67%)
5025,Tellurium,Rare (3.67%)
5026,Nitain Extract,Rare (2.00%)
5027,Xiphos Avionics Blueprint,Legendary (0.50%)
5028,,
5029,Neptune/Salacia (Mobile Defense),Neptune/Salacia (Mobile Defense)
5030,Polar Magazine,Common (38.72%)
5031,Superior Defenses,Common (38.72%)
5032,Meteor Crash,Rare (3.76%)
5033,Nebula Bore,Rare (3.76%)
5034,Astral Slash,Rare (3.76%)
5035,Comet Blast,Rare (3.76%)
5036,Quasar Drill,Rare (3.76%)
5037,Zodiac Shred,Rare (3.76%)
5038,,
5039,Neptune/Psamathe (Assassination),Neptune/Psamathe (Assassination)
5040,Loki Neuroptics Blueprint,Common (38.72%)
5041,Loki Chassis Blueprint,Common (38.72%)
5042,Loki Systems Blueprint,Uncommon (22.56%)
5043,,
5044,Neptune/Laomedeia (Disruption),Neptune/Laomedeia (Disruption)
5045,Rotation A,Rotation A
5046,"2X 10,000 Credits Cache",Very Common (100.00%)
5047,Rotation B,Rotation B
5048,"3X 10,000 Credits Cache",Very Common (100.00%)
5049,Rotation C,Rotation C
5050,"5X 10,000 Credits Cache",Very Common (95.00%)
5051,Universal Medallion,Rare (5.00%)
5052,,
5053,Neptune/Nereid (Spy),Neptune/Nereid (Spy)
5054,Rotation A,Rotation A
5055,"2,500 Credits Cache",Uncommon (14.29%)
5056,"2,500 Credits Cache",Uncommon (14.29%)
5057,100 Endo,Uncommon (14.29%)
5058,100 Endo,Uncommon (14.29%)
5059,Steady Hands,Uncommon (14.29%)
5060,Stabilizer,Uncommon (14.29%)
5061,Power Throw,Uncommon (14.29%)
5062,Rotation B,Rotation B
5063,Meso P11 Relic,Uncommon (11.06%)
5064,Meso H4 Relic,Uncommon (11.06%)
5065,Meso N14 Relic,Uncommon (11.06%)
5066,Meso P10 Relic,Uncommon (11.06%)
5067,Meso D7 Relic,Uncommon (11.06%)
5068,Meso K4 Relic,Uncommon (11.06%)
5069,Meso S12 Relic,Uncommon (11.06%)
5070,Neo S17 Relic,Rare (3.22%)
5071,Neo L2 Relic,Rare (3.22%)
5072,Neo K5 Relic,Rare (3.22%)
5073,Neo N22 Relic,Rare (3.22%)
5074,Neo C3 Relic,Rare (3.22%)
5075,Neo C2 Relic,Rare (3.22%)
5076,Neo M4 Relic,Rare (3.22%)
5077,Rotation C,Rotation C
5078,Auto Breach,Rare (7.04%)
5079,Power Throw,Rare (7.04%)
5080,Stretch,Rare (7.04%)
5081,Hell's Chamber,Rare (7.04%)
5082,Scorch,Rare (7.04%)
5083,Thermite Rounds,Rare (7.04%)
5084,Frostbite,Rare (7.52%)
5085,Frigid Blast,Rare (7.04%)
5086,Arrow Mutation,Rare (7.04%)
5087,Sniper Ammo Mutation,Rare (7.04%)
5088,Shotgun Ammo Mutation,Rare (7.04%)
5089,Covert Lethality,Rare (7.04%)
5090,Ivara Neuroptics Blueprint,Rare (7.52%)
5091,Ivara Blueprint,Rare (7.52%)
5092,,
5093,Neptune/Yursa (Defection),Neptune/Yursa (Defection)
5094,Rotation A,Rotation A
5095,"3,000 Credits Cache",Uncommon (24.35%)
5096,"3,000 Credits Cache",Uncommon (24.35%)
5097,"3,000 Credits Cache",Uncommon (24.35%)
5098,250 Endo,Uncommon (24.35%)
5099,Expel Corrupted,Rare (2.58%)
5100,Rotation B,Rotation B
5101,Harrow Systems Blueprint,Rare (6.00%)
5102,Smite Corrupted,Rare (8.00%)
5103,Cleanse Corrupted,Rare (8.00%)
5104,Bane Of Corrupted,Rare (8.00%)
5105,Neo S17 Relic,Uncommon (10.00%)
5106,Neo L2 Relic,Uncommon (10.00%)
5107,Neo K5 Relic,Uncommon (10.00%)
5108,Neo N22 Relic,Uncommon (10.00%)
5109,Neo C3 Relic,Uncommon (10.00%)
5110,Neo C2 Relic,Uncommon (10.00%)
5111,Neo M4 Relic,Uncommon (10.00%)
5112,Rotation C,Rotation C
5113,Harrow Systems Blueprint,Uncommon (15.00%)
5114,Life Strike,Uncommon (15.00%)
5115,Axi H6 Relic,Uncommon (10.00%)
5116,Axi A16 Relic,Uncommon (10.00%)
5117,Axi G10 Relic,Uncommon (10.00%)
5118,Axi B6 Relic,Uncommon (10.00%)
5119,Axi K11 Relic,Uncommon (10.00%)
5120,Axi N10 Relic,Uncommon (10.00%)
5121,Axi T10 Relic,Uncommon (10.00%)
5122,,
5123,Neptune/Kelashin (Survival),Neptune/Kelashin (Survival)
5124,Rotation A,Rotation A
5125,"3,000 Credits Cache",Uncommon (25.00%)
5126,"3,000 Credits Cache",Uncommon (25.00%)
5127,"3,000 Credits Cache",Uncommon (25.00%)
5128,400 Endo,Uncommon (25.00%)
5129,Rotation B,Rotation B
5130,Steel Fiber,Rare (6.67%)
5131,Stretch,Rare (6.67%)
5132,Serration,Rare (6.67%)
5133,Hell's Chamber,Rare (6.67%)
5134,Hornet Strike,Rare (6.67%)
5135,Flow,Rare (6.67%)
5136,Split Chamber,Rare (6.67%)
5137,Stabilizer,Rare (6.67%)
5138,Neo S17 Relic,Rare (6.67%)
5139,Neo L2 Relic,Rare (6.67%)
5140,Neo K5 Relic,Rare (6.67%)
5141,Neo N22 Relic,Rare (6.67%)
5142,Neo C3 Relic,Rare (6.67%)
