,Axi A1 Relic (Intact),Axi A1 Relic (Intact).1
8818,Helios Prime Blueprint,Uncommon (17.00%)
8819,Lex Prime Blueprint,Uncommon (20.00%)
8820,Nami Skyla Prime Blueprint,Uncommon (20.00%)
8821,Burston Prime Stock,Uncommon (20.00%)
8822,,
8823,Meso C3 Relic (Radiant),Meso C3 Relic (Radiant)
8824,Cernos Prime Lower Limb,Uncommon (10.00%)
8825,Saryn Prime Blueprint,Uncommon (20.00%)
8826,Helios Prime Blueprint,Uncommon (20.00%)
8827,Lex Prime Blueprint,Uncommon (16.67%)
8828,Nami Skyla Prime Blueprint,Uncommon (16.67%)
8829,Burston Prime Stock,Uncommon (16.67%)
8830,,
8831,Meso C4 Relic (Intact),Meso C4 Relic (Intact)
8832,Chroma Prime Systems Blueprint,Rare (2.00%)
8833,Forma Blueprint,Uncommon (11.00%)
8834,Atlas Prime Systems Blueprint,Uncommon (11.00%)
8835,Ivara Prime Neuroptics Blueprint,Uncommon (25.33%)
8836,Braton Prime Stock,Uncommon (25.33%)
8837,Mesa Prime Chassis Blueprint,Uncommon (25.33%)
8838,,
8839,Meso C4 Relic (Exceptional),Meso C4 Relic (Exceptional)
8840,Chroma Prime Systems Blueprint,Rare (4.00%)
8841,Forma Blueprint,Uncommon (13.00%)
8842,Atlas Prime Systems Blueprint,Uncommon (13.00%)
8843,Ivara Prime Neuroptics Blueprint,Uncommon (23.33%)
8844,Braton Prime Stock,Uncommon (23.33%)
8845,Mesa Prime Chassis Blueprint,Uncommon (23.33%)
8846,,
8847,Meso C4 Relic (Flawless),Meso C4 Relic (Flawless)
8848,Chroma Prime Systems Blueprint,Rare (6.00%)
8849,Forma Blueprint,Uncommon (17.00%)
8850,Atlas Prime Systems Blueprint,Uncommon (17.00%)
8851,Ivara Prime Neuroptics Blueprint,Uncommon (20.00%)
8852,Braton Prime Stock,Uncommon (20.00%)
8853,Mesa Prime Chassis Blueprint,Uncommon (20.00%)
8854,,
8855,Meso C4 Relic (Radiant),Meso C4 Relic (Radiant)
8856,Chroma Prime Systems Blueprint,Uncommon (10.00%)
8857,Forma Blueprint,Uncommon (20.00%)
8858,Atlas Prime Systems Blueprint,Uncommon (20.00%)
8859,Ivara Prime Neuroptics Blueprint,Uncommon (16.67%)
8860,Braton Prime Stock,Uncommon (16.67%)
8861,Mesa Prime Chassis Blueprint,Uncommon (16.67%)
8862,,
8863,Meso C5 Relic (Intact),Meso C5 Relic (Intact)
8864,Corinth Prime Barrel,Rare (2.00%)
8865,Chroma Prime Chassis Blueprint,Uncommon (11.00%)
8866,Forma Blueprint,Uncommon (11.00%)
8867,Tipedo Prime Blueprint,Uncommon (25.33%)
8868,Burston Prime Blueprint,Uncommon (25.33%)
8869,Stradavar Prime Stock,Uncommon (25.33%)
8870,,
8871,Meso C5 Relic (Exceptional),Meso C5 Relic (Exceptional)
8872,Corinth Prime Barrel,Rare (4.00%)
8873,Chroma Prime Chassis Blueprint,Uncommon (13.00%)
8874,Forma Blueprint,Uncommon (13.00%)
8875,Tipedo Prime Blueprint,Uncommon (23.33%)
8876,Burston Prime Blueprint,Uncommon (23.33%)
8877,Stradavar Prime Stock,Uncommon (23.33%)
8878,,
8879,Meso C5 Relic (Flawless),Meso C5 Relic (Flawless)
8880,Corinth Prime Barrel,Rare (6.00%)
8881,Chroma Prime Chassis Blueprint,Uncommon (17.00%)
8882,Forma Blueprint,Uncommon (17.00%)
8883,Tipedo Prime Blueprint,Uncommon (20.00%)
8884,Burston Prime Blueprint,Uncommon (20.00%)
8885,Stradavar Prime Stock,Uncommon (20.00%)
8886,,
8887,Meso C5 Relic (Radiant),Meso C5 Relic (Radiant)
8888,Corinth Prime Barrel,Uncommon (10.00%)
8889,Chroma Prime Chassis Blueprint,Uncommon (20.00%)
8890,Forma Blueprint,Uncommon (20.00%)
8891,Tipedo Prime Blueprint,Uncommon (16.67%)
8892,Burston Prime Blueprint,Uncommon (16.67%)
8893,Stradavar Prime Stock,Uncommon (16.67%)
8894,,
8895,Meso C6 Relic (Intact),Meso C6 Relic (Intact)
8896,Corinth Prime Stock,Rare (2.00%)
8897,Forma Blueprint,Uncommon (11.00%)
8898,Nezha Prime Blueprint,Uncommon (11.00%)
8899,Burston Prime Blueprint,Uncommon (25.33%)
8900,Lex Prime Barrel,Uncommon (25.33%)
8901,Baza Prime Receiver,Uncommon (25.33%)
8902,,
8903,Meso C6 Relic (Exceptional),Meso C6 Relic (Exceptional)
8904,Corinth Prime Stock,Rare (4.00%)
8905,Forma Blueprint,Uncommon (13.00%)
8906,Nezha Prime Blueprint,Uncommon (13.00%)
8907,Burston Prime Blueprint,Uncommon (23.33%)
8908,Lex Prime Barrel,Uncommon (23.33%)
8909,Baza Prime Receiver,Uncommon (23.33%)
8910,,
8911,Meso C6 Relic (Flawless),Meso C6 Relic (Flawless)
8912,Corinth Prime Stock,Rare (6.00%)
8913,Forma Blueprint,Uncommon (17.00%)
8914,Nezha Prime Blueprint,Uncommon (17.00%)
8915,Burston Prime Blueprint,Uncommon (20.00%)
8916,Lex Prime Barrel,Uncommon (20.00%)
8917,Baza Prime Receiver,Uncommon (20.00%)
8918,,
8919,Meso C6 Relic (Radiant),Meso C6 Relic (Radiant)
8920,Corinth Prime Stock,Uncommon (10.00%)
8921,Forma Blueprint,Uncommon (20.00%)
8922,Nezha Prime Blueprint,Uncommon (20.00%)
8923,Burston Prime Blueprint,Uncommon (16.67%)
8924,Lex Prime Barrel,Uncommon (16.67%)
8925,Baza Prime Receiver,Uncommon (16.67%)
8926,,
8927,Meso D1 Relic (Intact),Meso D1 Relic (Intact)
8928,Orthos Prime Handle,Uncommon (25.33%)
8929,Forma Blueprint,Uncommon (11.00%)
8930,Orthos Prime Blade,Uncommon (11.00%)
8931,Dual Kamas Prime Blade,Rare (2.00%)
8932,Lex Prime Blueprint,Uncommon (25.33%)
8933,Forma Blueprint,Uncommon (25.33%)
8934,,
8935,Meso D1 Relic (Exceptional),Meso D1 Relic (Exceptional)
8936,Orthos Prime Handle,Uncommon (23.33%)
8937,Forma Blueprint,Uncommon (13.00%)
8938,Orthos Prime Blade,Uncommon (13.00%)
8939,Dual Kamas Prime Blade,Rare (4.00%)
8940,Lex Prime Blueprint,Uncommon (23.33%)
8941,Forma Blueprint,Uncommon (23.33%)
8942,,
8943,Meso D1 Relic (Flawless),Meso D1 Relic (Flawless)
8944,Orthos Prime Handle,Uncommon (20.00%)
8945,Forma Blueprint,Uncommon (17.00%)
8946,Orthos Prime Blade,Uncommon (17.00%)
8947,Dual Kamas Prime Blade,Rare (6.00%)
8948,Lex Prime Blueprint,Uncommon (20.00%)
8949,Forma Blueprint,Uncommon (20.00%)
8950,,
8951,Meso D1 Relic (Radiant),Meso D1 Relic (Radiant)
8952,Orthos Prime Handle,Uncommon (16.67%)
8953,Forma Blueprint,Uncommon (20.00%)
8954,Orthos Prime Blade,Uncommon (20.00%)
8955,Dual Kamas Prime Blade,Uncommon (10.00%)
8956,Lex Prime Blueprint,Uncommon (16.67%)
8957,Forma Blueprint,Uncommon (16.67%)
8958,,
8959,Meso D2 Relic (Intact),Meso D2 Relic (Intact)
8960,Destreza Prime Blade,Rare (2.00%)
8961,Valkyr Prime Neuroptics Blueprint,Uncommon (11.00%)
8962,Helios Prime Systems,Uncommon (11.00%)
8963,Paris Prime Lower Limb,Uncommon (25.33%)
8964,Lex Prime Receiver,Uncommon (25.33%)
8965,Forma Blueprint,Uncommon (25.33%)
8966,,
8967,Meso D2 Relic (Exceptional),Meso D2 Relic (Exceptional)
8968,Destreza Prime Blade,Rare (4.00%)
8969,Valkyr Prime Neuroptics Blueprint,Uncommon (13.00%)
8970,Helios Prime Systems,Uncommon (13.00%)
8971,Paris Prime Lower Limb,Uncommon (23.33%)
8972,Lex Prime Receiver,Uncommon (23.33%)
8973,Forma Blueprint,Uncommon (23.33%)
8974,,
8975,Meso D2 Relic (Flawless),Meso D2 Relic (Flawless)
8976,Destreza Prime Blade,Rare (6.00%)
8977,Valkyr Prime Neuroptics Blueprint,Uncommon (17.00%)
8978,Helios Prime Systems,Uncommon (17.00%)
8979,Paris Prime Lower Limb,Uncommon (20.00%)
8980,Lex Prime Receiver,Uncommon (20.00%)
8981,Forma Blueprint,Uncommon (20.00%)
8982,,
8983,Meso D2 Relic (Radiant),Meso D2 Relic (Radiant)
8984,Destreza Prime Blade,Uncommon (10.00%)
8985,Valkyr Prime Neuroptics Blueprint,Uncommon (20.00%)
8986,Helios Prime Systems,Uncommon (20.00%)
8987,Paris Prime Lower Limb,Uncommon (16.67%)
8988,Lex Prime Receiver,Uncommon (16.67%)
8989,Forma Blueprint,Uncommon (16.67%)
8990,,
8991,Meso D3 Relic (Intact),Meso D3 Relic (Intact)
8992,Destreza Prime Blade,Rare (2.00%)
8993,Nami Skyla Prime Handle,Uncommon (11.00%)
8994,Kronen Prime Handle,Uncommon (11.00%)
8995,Akbolto Prime Blueprint,Uncommon (25.33%)
8996,Fang Prime Handle,Uncommon (25.33%)
8997,Braton Prime Stock,Uncommon (25.33%)
8998,,
8999,Meso D3 Relic (Exceptional),Meso D3 Relic (Exceptional)
9000,Destreza Prime Blade,Rare (4.00%)
9001,Nami Skyla Prime Handle,Uncommon (13.00%)
9002,Kronen Prime Handle,Uncommon (13.00%)
9003,Akbolto Prime Blueprint,Uncommon (23.33%)
9004,Fang Prime Handle,Uncommon (23.33%)
9005,Braton Prime Stock,Uncommon (23.33%)
9006,,
9007,Meso D3 Relic (Flawless),Meso D3 Relic (Flawless)
9008,Destreza Prime Blade,Rare (6.00%)
9009,Nami Skyla Prime Handle,Uncommon (17.00%)
9010,Kronen Prime Handle,Uncommon (17.00%)
9011,Akbolto Prime Blueprint,Uncommon (20.00%)
9012,Fang Prime Handle,Uncommon (20.00%)
9013,Braton Prime Stock,Uncommon (20.00%)
9014,,
9015,Meso D3 Relic (Radiant),Meso D3 Relic (Radiant)
9016,Destreza Prime Blade,Uncommon (10.00%)
9017,Nami Skyla Prime Handle,Uncommon (20.00%)
9018,Kronen Prime Handle,Uncommon (20.00%)
9019,Akbolto Prime Blueprint,Uncommon (16.67%)
9020,Fang Prime Handle,Uncommon (16.67%)
9021,Braton Prime Stock,Uncommon (16.67%)
9022,,
9023,Meso D4 Relic (Intact),Meso D4 Relic (Intact)
9024,Dethcube Prime Cerebrum,Rare (2.00%)
9025,Lex Prime Blueprint,Uncommon (11.00%)
9026,Chroma Prime Chassis Blueprint,Uncommon (11.00%)
9027,Forma Blueprint,Uncommon (25.33%)
9028,Orthos Prime Handle,Uncommon (25.33%)
9029,Akjagara Prime Blueprint,Uncommon (25.33%)
9030,,
9031,Meso D4 Relic (Exceptional),Meso D4 Relic (Exceptional)
9032,Dethcube Prime Cerebrum,Rare (4.00%)
9033,Lex Prime Blueprint,Uncommon (13.00%)
9034,Chroma Prime Chassis Blueprint,Uncommon (13.00%)
9035,Forma Blueprint,Uncommon (23.33%)
9036,Orthos Prime Handle,Uncommon (23.33%)
9037,Akjagara Prime Blueprint,Uncommon (23.33%)
9038,,
9039,Meso D4 Relic (Flawless),Meso D4 Relic (Flawless)
9040,Dethcube Prime Cerebrum,Rare (6.00%)
9041,Lex Prime Blueprint,Uncommon (17.00%)
9042,Chroma Prime Chassis Blueprint,Uncommon (17.00%)
9043,Forma Blueprint,Uncommon (20.00%)
9044,Orthos Prime Handle,Uncommon (20.00%)
9045,Akjagara Prime Blueprint,Uncommon (20.00%)
9046,,
9047,Meso D4 Relic (Radiant),Meso D4 Relic (Radiant)
9048,Dethcube Prime Cerebrum,Uncommon (10.00%)
9049,Lex Prime Blueprint,Uncommon (20.00%)
9050,Chroma Prime Chassis Blueprint,Uncommon (20.00%)
9051,Forma Blueprint,Uncommon (16.67%)
9052,Orthos Prime Handle,Uncommon (16.67%)
9053,Akjagara Prime Blueprint,Uncommon (16.67%)
9054,,
9055,Meso D5 Relic (Intact),Meso D5 Relic (Intact)
9056,Dual Kamas Prime Blade,Rare (2.00%)
9057,Nova Prime Blueprint,Uncommon (11.00%)
9058,Vasto Prime Blueprint,Uncommon (11.00%)
9059,Trinity Prime Neuroptics Blueprint,Uncommon (25.33%)
9060,Soma Prime Barrel,Uncommon (25.33%)
9061,Forma Blueprint,Uncommon (25.33%)
9062,,
9063,Meso D5 Relic (Exceptional),Meso D5 Relic (Exceptional)
9064,Dual Kamas Prime Blade,Rare (4.00%)
9065,Nova Prime Blueprint,Uncommon (13.00%)
9066,Vasto Prime Blueprint,Uncommon (13.00%)
9067,Trinity Prime Neuroptics Blueprint,Uncommon (23.33%)
9068,Soma Prime Barrel,Uncommon (23.33%)
9069,Forma Blueprint,Uncommon (23.33%)
9070,,
9071,Meso D5 Relic (Flawless),Meso D5 Relic (Flawless)
9072,Dual Kamas Prime Blade,Rare (6.00%)
9073,Nova Prime Blueprint,Uncommon (17.00%)
9074,Vasto Prime Blueprint,Uncommon (17.00%)
9075,Trinity Prime Neuroptics Blueprint,Uncommon (20.00%)
9076,Soma Prime Barrel,Uncommon (20.00%)
9077,Forma Blueprint,Uncommon (20.00%)
9078,,
9079,Meso D5 Relic (Radiant),Meso D5 Relic (Radiant)
9080,Dual Kamas Prime Blade,Uncommon (10.00%)
9081,Nova Prime Blueprint,Uncommon (20.00%)
9082,Vasto Prime Blueprint,Uncommon (20.00%)
9083,Trinity Prime Neuroptics Blueprint,Uncommon (16.67%)
9084,Soma Prime Barrel,Uncommon (16.67%)
9085,Forma Blueprint,Uncommon (16.67%)
9086,,
9087,Meso D6 Relic (Intact),Meso D6 Relic (Intact)
9088,Dethcube Prime Cerebrum,Rare (2.00%)
9089,Aksomati Prime Barrel,Uncommon (11.00%)
9090,Nezha Prime Blueprint,Uncommon (11.00%)
9091,Ivara Prime Neuroptics Blueprint,Uncommon (25.33%)
9092,Octavia Prime Systems Blueprint,Uncommon (25.33%)
9093,Paris Prime Blueprint,Uncommon (25.33%)
9094,,
9095,Meso D6 Relic (Exceptional),Meso D6 Relic (Exceptional)
9096,Dethcube Prime Cerebrum,Rare (4.00%)
9097,Aksomati Prime Barrel,Uncommon (13.00%)
9098,Nezha Prime Blueprint,Uncommon (13.00%)
9099,Ivara Prime Neuroptics Blueprint,Uncommon (23.33%)
9100,Octavia Prime Systems Blueprint,Uncommon (23.33%)
9101,Paris Prime Blueprint,Uncommon (23.33%)
9102,,
9103,Meso D6 Relic (Flawless),Meso D6 Relic (Flawless)
9104,Dethcube Prime Cerebrum,Rare (6.00%)
9105,Aksomati Prime Barrel,Uncommon (17.00%)
9106,Nezha Prime Blueprint,Uncommon (17.00%)
9107,Ivara Prime Neuroptics Blueprint,Uncommon (20.00%)
9108,Octavia Prime Systems Blueprint,Uncommon (20.00%)
9109,Paris Prime Blueprint,Uncommon (20.00%)
9110,,
9111,Meso D6 Relic (Radiant),Meso D6 Relic (Radiant)
9112,Dethcube Prime Cerebrum,Uncommon (10.00%)
9113,Aksomati Prime Barrel,Uncommon (20.00%)
9114,Nezha Prime Blueprint,Uncommon (20.00%)
9115,Ivara Prime Neuroptics Blueprint,Uncommon (16.67%)
9116,Octavia Prime Systems Blueprint,Uncommon (16.67%)
9117,Paris Prime Blueprint,Uncommon (16.67%)
9118,,
9119,Meso D7 Relic (Intact),Meso D7 Relic (Intact)
9120,Dual Keres Prime Blueprint,Rare (2.00%)
9121,Strun Prime Stock,Uncommon (11.00%)
9122,Nagantaka Prime Receiver,Uncommon (11.00%)
9123,Nidus Prime Systems Blueprint,Uncommon (25.33%)
9124,Forma Blueprint,Uncommon (25.33%)
9125,Afuris Prime Barrel,Uncommon (25.33%)
9126,,
9127,Meso D7 Relic (Exceptional),Meso D7 Relic (Exceptional)
9128,Dual Keres Prime Blueprint,Rare (4.00%)
9129,Strun Prime Stock,Uncommon (13.00%)
9130,Nagantaka Prime Receiver,Uncommon (13.00%)
9131,Nidus Prime Systems Blueprint,Uncommon (23.33%)
9132,Forma Blueprint,Uncommon (23.33%)
9133,Afuris Prime Barrel,Uncommon (23.33%)
9134,,
9135,Meso D7 Relic (Flawless),Meso D7 Relic (Flawless)
9136,Dual Keres Prime Blueprint,Rare (6.00%)
9137,Strun Prime Stock,Uncommon (17.00%)
9138,Nagantaka Prime Receiver,Uncommon (17.00%)
9139,Nidus Prime Systems Blueprint,Uncommon (20.00%)
9140,Forma Blueprint,Uncommon (20.00%)
9141,Afuris Prime Barrel,Uncommon (20.00%)
9142,,
9143,Meso D7 Relic (Radiant),Meso D7 Relic (Radiant)
9144,Dual Keres Prime Blueprint,Uncommon (10.00%)
9145,Strun Prime Stock,Uncommon (20.00%)
9146,Nagantaka Prime Receiver,Uncommon (20.00%)
9147,Nidus Prime Systems Blueprint,Uncommon (16.67%)
9148,Forma Blueprint,Uncommon (16.67%)
9149,Afuris Prime Barrel,Uncommon (16.67%)
9150,,
9151,Meso E1 Relic (Intact),Meso E1 Relic (Intact)
9152,Ember Prime Blueprint,Rare (2.00%)
9153,Wyrm Prime Systems,Uncommon (11.00%)
9154,Forma Blueprint,Uncommon (11.00%)
9155,Bo Prime Ornament,Uncommon (25.33%)
9156,Frost Prime Chassis Blueprint,Uncommon (25.33%)
9157,Latron Prime Barrel,Uncommon (25.33%)
9158,,
9159,Meso E1 Relic (Exceptional),Meso E1 Relic (Exceptional)
9160,Ember Prime Blueprint,Rare (4.00%)
9161,Wyrm Prime Systems,Uncommon (13.00%)
9162,Forma Blueprint,Uncommon (13.00%)
9163,Bo Prime Ornament,Uncommon (23.33%)
9164,Frost Prime Chassis Blueprint,Uncommon (23.33%)
9165,Latron Prime Barrel,Uncommon (23.33%)
9166,,
9167,Meso E1 Relic (Flawless),Meso E1 Relic (Flawless)
9168,Ember Prime Blueprint,Rare (6.00%)
9169,Wyrm Prime Systems,Uncommon (17.00%)
9170,Forma Blueprint,Uncommon (17.00%)
9171,Bo Prime Ornament,Uncommon (20.00%)
9172,Frost Prime Chassis Blueprint,Uncommon (20.00%)
9173,Latron Prime Barrel,Uncommon (20.00%)
9174,,
9175,Meso E1 Relic (Radiant),Meso E1 Relic (Radiant)
9176,Ember Prime Blueprint,Uncommon (10.00%)
9177,Wyrm Prime Systems,Uncommon (20.00%)
9178,Forma Blueprint,Uncommon (20.00%)
9179,Bo Prime Ornament,Uncommon (16.67%)
9180,Frost Prime Chassis Blueprint,Uncommon (16.67%)
9181,Latron Prime Barrel,Uncommon (16.67%)
9182,,
9183,Meso E2 Relic (Intact),Meso E2 Relic (Intact)
9184,Equinox Prime Systems Blueprint,Rare (2.00%)
9185,Rubico Prime Stock,Uncommon (11.00%)
9186,Akbolto Prime Link,Uncommon (11.00%)
9187,Bronco Prime Blueprint,Uncommon (25.33%)
9188,Destreza Prime Handle,Uncommon (25.33%)
9189,Pyrana Prime Barrel,Uncommon (25.33%)
9190,,
9191,Meso E2 Relic (Exceptional),Meso E2 Relic (Exceptional)
9192,Equinox Prime Systems Blueprint,Rare (4.00%)
9193,Rubico Prime Stock,Uncommon (13.00%)
9194,Akbolto Prime Link,Uncommon (13.00%)
9195,Bronco Prime Blueprint,Uncommon (23.33%)
9196,Destreza Prime Handle,Uncommon (23.33%)
9197,Pyrana Prime Barrel,Uncommon (23.33%)
9198,,
9199,Meso E2 Relic (Flawless),Meso E2 Relic (Flawless)
9200,Equinox Prime Systems Blueprint,Rare (6.00%)
9201,Rubico Prime Stock,Uncommon (17.00%)
9202,Akbolto Prime Link,Uncommon (17.00%)
9203,Bronco Prime Blueprint,Uncommon (20.00%)
9204,Destreza Prime Handle,Uncommon (20.00%)
9205,Pyrana Prime Barrel,Uncommon (20.00%)
9206,,
9207,Meso E2 Relic (Radiant),Meso E2 Relic (Radiant)
9208,Equinox Prime Systems Blueprint,Uncommon (10.00%)
9209,Rubico Prime Stock,Uncommon (20.00%)
9210,Akbolto Prime Link,Uncommon (20.00%)
9211,Bronco Prime Blueprint,Uncommon (16.67%)
9212,Destreza Prime Handle,Uncommon (16.67%)
9213,Pyrana Prime Barrel,Uncommon (16.67%)
9214,,
9215,Meso E3 Relic (Intact),Meso E3 Relic (Intact)
9216,Equinox Prime Systems Blueprint,Rare (2.00%)
9217,Atlas Prime Chassis Blueprint,Uncommon (11.00%)
9218,Stradavar Prime Barrel,Uncommon (11.00%)
9219,Destreza Prime Handle,Uncommon (25.33%)
9220,Bronco Prime Receiver,Uncommon (25.33%)
9221,Forma Blueprint,Uncommon (25.33%)
9222,,
9223,Meso E3 Relic (Exceptional),Meso E3 Relic (Exceptional)
9224,Equinox Prime Systems Blueprint,Rare (4.00%)
9225,Atlas Prime Chassis Blueprint,Uncommon (13.00%)
9226,Stradavar Prime Barrel,Uncommon (13.00%)
9227,Destreza Prime Handle,Uncommon (23.33%)
9228,Bronco Prime Receiver,Uncommon (23.33%)
9229,Forma Blueprint,Uncommon (23.33%)
9230,,
9231,Meso E3 Relic (Flawless),Meso E3 Relic (Flawless)
9232,Equinox Prime Systems Blueprint,Rare (6.00%)
9233,Atlas Prime Chassis Blueprint,Uncommon (17.00%)
9234,Stradavar Prime Barrel,Uncommon (17.00%)
9235,Destreza Prime Handle,Uncommon (20.00%)
9236,Bronco Prime Receiver,Uncommon (20.00%)
9237,Forma Blueprint,Uncommon (20.00%)
9238,,
9239,Meso E3 Relic (Radiant),Meso E3 Relic (Radiant)
9240,Equinox Prime Systems Blueprint,Uncommon (10.00%)
9241,Atlas Prime Chassis Blueprint,Uncommon (20.00%)
9242,Stradavar Prime Barrel,Uncommon (20.00%)
9243,Destreza Prime Handle,Uncommon (16.67%)
9244,Bronco Prime Receiver,Uncommon (16.67%)
9245,Forma Blueprint,Uncommon (16.67%)
9246,,
9247,Meso E4 Relic (Intact),Meso E4 Relic (Intact)
9248,Equinox Prime Systems Blueprint,Rare (2.00%)
9249,Titania Prime Neuroptics Blueprint,Uncommon (11.00%)
9250,Tekko Prime Blueprint,Uncommon (11.00%)
9251,Paris Prime Blueprint,Uncommon (25.33%)
9252,Baza Prime Receiver,Uncommon (25.33%)
9253,Forma Blueprint,Uncommon (25.33%)
9254,,
9255,Meso E4 Relic (Exceptional),Meso E4 Relic (Exceptional)
9256,Equinox Prime Systems Blueprint,Rare (4.00%)
9257,Titania Prime Neuroptics Blueprint,Uncommon (13.00%)
9258,Tekko Prime Blueprint,Uncommon (13.00%)
9259,Paris Prime Blueprint,Uncommon (23.33%)
9260,Baza Prime Receiver,Uncommon (23.33%)
9261,Forma Blueprint,Uncommon (23.33%)
9262,,
9263,Meso E4 Relic (Flawless),Meso E4 Relic (Flawless)
9264,Equinox Prime Systems Blueprint,Rare (6.00%)
9265,Titania Prime Neuroptics Blueprint,Uncommon (17.00%)
9266,Tekko Prime Blueprint,Uncommon (17.00%)
9267,Paris Prime Blueprint,Uncommon (20.00%)
9268,Baza Prime Receiver,Uncommon (20.00%)
9269,Forma Blueprint,Uncommon (20.00%)
9270,,
9271,Meso E4 Relic (Radiant),Meso E4 Relic (Radiant)
9272,Equinox Prime Systems Blueprint,Uncommon (10.00%)
9273,Titania Prime Neuroptics Blueprint,Uncommon (20.00%)
9274,Tekko Prime Blueprint,Uncommon (20.00%)
9275,Paris Prime Blueprint,Uncommon (16.67%)
9276,Baza Prime Receiver,Uncommon (16.67%)
9277,Forma Blueprint,Uncommon (16.67%)
9278,,
9279,Meso E5 Relic (Intact),Meso E5 Relic (Intact)
9280,Euphona Prime Receiver,Rare (2.00%)
9281,Banshee Prime Blueprint,Uncommon (11.00%)
9282,Helios Prime Blueprint,Uncommon (11.00%)
9283,Mirage Prime Neuroptics Blueprint,Uncommon (25.33%)
9284,Forma Blueprint,Uncommon (25.33%)
9285,Helios Prime Carapace,Uncommon (25.33%)
9286,,
9287,Meso E5 Relic (Exceptional),Meso E5 Relic (Exceptional)
9288,Euphona Prime Receiver,Rare (4.00%)
9289,Banshee Prime Blueprint,Uncommon (13.00%)
9290,Helios Prime Blueprint,Uncommon (13.00%)
9291,Mirage Prime Neuroptics Blueprint,Uncommon (23.33%)
9292,Forma Blueprint,Uncommon (23.33%)
9293,Helios Prime Carapace,Uncommon (23.33%)
9294,,
9295,Meso E5 Relic (Flawless),Meso E5 Relic (Flawless)
9296,Euphona Prime Receiver,Rare (6.00%)
9297,Banshee Prime Blueprint,Uncommon (17.00%)
9298,Helios Prime Blueprint,Uncommon (17.00%)
9299,Mirage Prime Neuroptics Blueprint,Uncommon (20.00%)
9300,Forma Blueprint,Uncommon (20.00%)
9301,Helios Prime Carapace,Uncommon (20.00%)
9302,,
9303,Meso E5 Relic (Radiant),Meso E5 Relic (Radiant)
9304,Euphona Prime Receiver,Uncommon (10.00%)
9305,Banshee Prime Blueprint,Uncommon (20.00%)
9306,Helios Prime Blueprint,Uncommon (20.00%)
9307,Mirage Prime Neuroptics Blueprint,Uncommon (16.67%)
9308,Forma Blueprint,Uncommon (16.67%)
9309,Helios Prime Carapace,Uncommon (16.67%)
9310,,
9311,Meso F1 Relic (Intact),Meso F1 Relic (Intact)
9312,Fragor Prime Blueprint,Rare (2.00%)
9313,Nekros Prime Neuroptics Blueprint,Uncommon (11.00%)
9314,Dual Kamas Prime Handle,Uncommon (11.00%)
9315,Bronco Prime Receiver,Uncommon (25.33%)
9316,Paris Prime Lower Limb,Uncommon (25.33%)
9317,Saryn Prime Systems Blueprint,Uncommon (25.33%)
9318,,
9319,Meso F1 Relic (Exceptional),Meso F1 Relic (Exceptional)
9320,Fragor Prime Blueprint,Rare (4.00%)
9321,Nekros Prime Neuroptics Blueprint,Uncommon (13.00%)
9322,Dual Kamas Prime Handle,Uncommon (13.00%)
9323,Bronco Prime Receiver,Uncommon (23.33%)
9324,Paris Prime Lower Limb,Uncommon (23.33%)
9325,Saryn Prime Systems Blueprint,Uncommon (23.33%)
9326,,
9327,Meso F1 Relic (Flawless),Meso F1 Relic (Flawless)
9328,Fragor Prime Blueprint,Rare (6.00%)
9329,Nekros Prime Neuroptics Blueprint,Uncommon (17.00%)
9330,Dual Kamas Prime Handle,Uncommon (17.00%)
9331,Bronco Prime Receiver,Uncommon (20.00%)
9332,Paris Prime Lower Limb,Uncommon (20.00%)
9333,Saryn Prime Systems Blueprint,Uncommon (20.00%)
9334,,
9335,Meso F1 Relic (Radiant),Meso F1 Relic (Radiant)
9336,Fragor Prime Blueprint,Uncommon (10.00%)
9337,Nekros Prime Neuroptics Blueprint,Uncommon (20.00%)
9338,Dual Kamas Prime Handle,Uncommon (20.00%)
9339,Bronco Prime Receiver,Uncommon (16.67%)
9340,Paris Prime Lower Limb,Uncommon (16.67%)
9341,Saryn Prime Systems Blueprint,Uncommon (16.67%)
9342,,
9343,Meso F2 Relic (Intact),Meso F2 Relic (Intact)
9344,Frost Prime Blueprint,Rare (2.00%)
9345,Reaper Prime Blade,Uncommon (11.00%)
9346,Forma Blueprint,Uncommon (11.00%)
9347,Latron Prime Stock,Uncommon (25.33%)
9348,Ember Prime Chassis Blueprint,Uncommon (25.33%)
9349,Sicarus Prime Barrel,Uncommon (25.33%)
9350,,
9351,Meso F2 Relic (Exceptional),Meso F2 Relic (Exceptional)
9352,Frost Prime Blueprint,Rare (4.00%)
9353,Reaper Prime Blade,Uncommon (13.00%)
9354,Forma Blueprint,Uncommon (13.00%)
9355,Latron Prime Stock,Uncommon (23.33%)
9356,Ember Prime Chassis Blueprint,Uncommon (23.33%)
9357,Sicarus Prime Barrel,Uncommon (23.33%)
9358,,
9359,Meso F2 Relic (Flawless),Meso F2 Relic (Flawless)
9360,Frost Prime Blueprint,Rare (6.00%)
9361,Reaper Prime Blade,Uncommon (17.00%)
9362,Forma Blueprint,Uncommon (17.00%)
9363,Latron Prime Stock,Uncommon (20.00%)
9364,Ember Prime Chassis Blueprint,Uncommon (20.00%)
